Channel1,Channel2,Channel3,Channel4
5807507,6238225,5047017,509096
6036603,6055469,4975055,529594
6123303,5938839,4849923,634292
6283337,6017171,5079943,549840
6246979,6228635,4974083,659860
6031411,6057939,4984259,490666
6264245,5908857,4837701,295148
6291415,6021755,5092369,512020
6445003,6235171,5115885,423246
6561189,6065761,4995811,506114
6324023,5920645,4894647,536022
6303697,6030277,5066247,551720
6152303,6207701,4880725,323288
6029061,6065831,4979129,528658
6231361,5913933,4816089,473274
6306523,6037511,4573799,530248
6074821,6235213,4812951,429758
6034501,6059181,4990271,559484
5988261,5925777,4840345,320534
5784467,6035465,5093753,518094
5582335,6236641,4852941,284570
5509965,6067097,5002201,536562
5493685,5922589,4895631,316488
5255321,6029119,5132735,517258
5164407,6235583,4928215,769362
4994287,6068665,4987405,518458
5161375,5892599,4854423,431246
5263497,6036937,5112303,480362
5120339,6221265,4912595,570908
4994021,6078407,4986529,520646
5195499,5944665,4746027,275776
5240425,6007997,4572139,481358
5351191,6206659,4566857,719356
5530429,6075997,4457811,507068
5609465,5927141,4251951,464558
5778687,6010809,4061447,482784
5659255,6190817,3889175,261154
5529029,6081939,3953107,18920
5665669,5905569,3762977,89554
5772381,6013659,3546657,-11418
5557743,6191287,3349227,-134514
5531191,6075995,3433185,52784
5680195,5919473,3217335,81874
5778789,6023183,3016175,-12966
5615033,6188403,2821995,-219058
5529287,6077865,2895751,-463024
5721831,5904825,2762823,-572706
5780273,6021305,2513093,-593946
5782031,6176149,2326639,-397726
5524533,6075085,2364335,-542380
5634905,5921745,2148539,-546598
5776899,6018417,1967399,-560214
5880247,6190217,1874483,-613514
6059749,6074929,1835869,-516734
6316603,5941449,1692613,-725592
6294269,6009543,1452563,-546992
6230945,6211189,1310151,-400608
6048777,6075803,1333803,-500858
6268475,5916193,1183723,-731566
6290917,6015813,1444025,-556414
6455757,6231189,1474245,-630696
6588143,6078769,1339515,-517926
6778443,5943287,1139529,-683336
6815617,6021323,938531,-558244
7005159,6207165,875017,-578798
7108901,6070965,792709,-511244
6933609,5923541,703367,-727718
6818533,6019077,918299,-529216
6868617,6218161,843671,-591526
7093527,6073067,817853,-504842
6852217,5917815,646091,-622954
6810635,6005123,393205,-562110
6648175,6210825,142491,-537414
6572595,6076497,272203,-473494
6735199,5933637,158593,-397816
6812385,6011883,392513,-526376
6694107,6224863,226931,-317478
6569491,6077467,270611,-513782
6573893,5937483,97835,-368856
6821567,6015937,-103509,-531306
6590275,6205613,130597,-332224
6572453,6070435,264845,-536112
6794609,5906471,136773,-670022
6808415,6016193,391487,-565532
7036755,6228439,361457,-556668
7103481,6070733,263459,-785390
7037563,5991641,184051,-831670
6791603,6000647,399361,-1061808
6662091,6244127,493119,-1033490
6581853,6068347,257305,-1104344
6781269,5924259,138775,-1279070
6802961,6008009,397931,-1053032
6588547,6224625,474271,-1046150
6583401,6078963,269149,-979262
6595131,5893021,149825,-911908
6798441,6010611,362143,-1074666
7012035,6190099,377195,-1089648
7105255,6073739,247481,-1039926
7216939,5892287,89485,-862488
7303337,6003825,-138959,-1070986
7088421,6210547,121511,-1188164
7100073,6078133,257811,-1032384
7102667,5913153,107809,-824720
7312105,5996361,-141373,-1079426
7158153,6201789,-364489,-1226250
7106421,6085981,-255463,-1029596
7088485,5900033,-479907,-828952
7306337,6000521,-657353,-1083988
7063255,6231577,-916937,-1045252
7106279,6077267,-779143,-1062598
7228213,5888125,-928449,-1018916
7322577,6000787,-1179445,-1095992
7143387,6246609,-953653,-1176162
7118345,6093041,-795625,-1024250
7139243,5910311,-1022119,-1166140
7313751,5998647,-1141163,-1113510
7486069,6181969,-1208635,-1174836
7635593,6084139,-1307593,-1046850
7622419,5892811,-1474665,-803404
7832777,6006221,-1702571,-1057734
7587643,6203837,-1926601,-1104266
7631947,6088897,-1822055,-1035204
7609631,5918009,-1976743,-1262940
7852759,6000589,-2230065,-1090210
7722381,6227513,-2455809,-1277150
7640447,6091807,-2314841,-1035522
7802771,5923687,-2483231,-1174776
7846795,5981133,-2232271,-1124274
8051423,6209405,-2256269,-1037238
8179011,6090349,-2325031,-1041224
7943629,5916639,-2427983,-1234580
7846573,5994739,-2232357,-1122538
7663603,6224809,-2493611,-1075934
7646779,6097405,-2324599,-1001632
7396515,5903117,-2449159,-1162946
7319317,6002405,-2218049,-1134036
7101271,6204241,-2463575,-1179082
7119957,6091609,-2330171,-1010762
7194313,5902373,-2527381,-1210632
7333013,6002341,-2762133,-1145054
7124441,6208655,-2991435,-1119388
7126359,6097861,-2842151,-965248
6947279,5903043,-3048511,-836526
6804361,6000197,-3295589,-634420
6605631,6196367,-3070261,-616236
6597691,6098685,-2818113,-507580
6707863,5882867,-3052569,-524970
6820085,6008197,-3289483,-633442
6814545,6208187,-3423837,-540108
6612729,6093927,-3322999,-489744
6818403,5878053,-3528753,-232170
6827979,6018533,-3306433,-106342
6969511,6210677,-3341387,-75556
7138289,6092133,-3347119,32760
-2117411,-3050083,-1894934,-895709
-2093507,-2898979,-1752380,-1136345
-2092077,-2718201,-1805384,-1042645
-2308513,-2820233,-1756260,-997435
-2176105,-3048795,-1983834,-1246539
-2080955,-2900921,-1773218,-1146891
-2139095,-2702375,-1861644,-1264971
-2315809,-2817335,-1774698,-1484651
-2400569,-3013353,-2031166,-1351325
-2592159,-2890487,-2284758,-1161719
-2778591,-2681847,-2436124,-1386741
-2833855,-2810981,-2297928,-1497051
-2904743,-3055785,-2509660,-1402677
-3133051,-2900633,-2313570,-1185237
-3181759,-2687787,-2334120,-1159325
-3353049,-2809583,-2247978,-990121
-3301067,-3001149,-2496254,-1176009
-3158849,-2932383,-2299100,-1229511
-3309557,-2696737,-2443778,-1346283
-3346915,-2794707,-2249952,-1446891
-3342015,-2977365,-2483396,-1407927
-3176601,-2938817,-2320258,-1228597
-3355453,-2691031,-2552454,-1369413
-3348063,-2797033,-2796724,-1485997
-3586461,-2995813,-2885934,-1237263
-3717805,-2956985,-2817822,-1268697
-3822593,-2703621,-3072948,-1218049
-3869133,-2794773,-2833150,-1466809
-3863377,-3005197,-2985204,-1424443
-3702643,-2955969,-2811114,-1226703
-3637265,-3215967,-2604390,-1210031
-3846505,-3327225,-2361108,-1376729
-3908315,-3476925,-2173030,-1240963
-3673945,-3471561,-2230468,-1278123
-3818919,-3725071,-1998632,-1351683
-3794953,-3812511,-1875296,-1427107
-3820785,-4031493,-1789710,-1472511
-3664811,-4000605,-1680854,-1291433
-3692743,-3788389,-1430346,-1128697
-3792309,-3818651,-1371884,-926135
-3588041,-4026905,-1207352,-887367
-3671681,-3997343,-1186156,-742245
-3911387,-3737147,-1060036,-762251
-3799093,-3822207,-848758,-934085
-3557465,-4013329,-644676,-831439
-3663617,-3996039,-625072,-747891
-3833875,-3762515,-479096,-691631
-3798521,-3820173,-360414,-931007
-3906775,-4019959,-190780,-799759
-3663901,-3992301,-85970,-746563
-3790713,-4253751,125754,-800577
-3794573,-4346659,135812,-941283
-4028345,-4560397,-41022,-876921
-4200213,-4537503,-79404,-751893
-4361917,-4290723,50930,-920857
-4318843,-4351501,155340,-919521
-4201865,-4561145,414090,-1004245
-4211123,-4536977,434912,-1259675
-4187135,-4289103,681664,-1252327
-4310255,-4346103,651196,-1468453
-4322095,-4559465,423666,-1301755
-4210817,-4544911,443322,-1243057
-4231249,-4286989,666876,-1064855
-4317137,-4344815,651348,-941351
-4289833,-4545711,419856,-899729
-4228015,-4547193,434440,-770059
-4301399,-4313457,596632,-687241
-4318279,-4353165,625220,-914863
-4193149,-4537273,484340,-1074037
-4225837,-4549069,431986,-1315801
-4280275,-4293707,624256,-1088941
-4323387,-4359611,635302,-1019989
-4071051,-4558931,472842,-896955
-4224633,-4542861,449820,-742847
-4354735,-4281721,582630,-765631
-4331435,-4347949,611834,-960025
-4169959,-4564201,401094,-846587
-4234897,-4550465,445640,-736117
-4017337,-4795155,242196,-636419
-3790331,-4880079,67668,-447017
-3621997,-5069555,-69694,-372171
-3713731,-5076019,-74774,-213557
-3717115,-5337899,141328,-371575
-3805179,-5397959,79388,-418463
-3872503,-5602023,-8392,-250037
-3708367,-5596311,-90122,-215869
-3863433,-5348987,15576,-193113
-3805183,-5402235,86528,-420721
-3695693,-5601907,-73150,-681401
-3705951,-5588937,-67910,-762525
-3644407,-5342311,-329960,-1021381
-3811161,-5403183,-487500,-955575
-3598829,-5560731,-562036,-718197
-3716545,-5607917,-595478,-757091
-3668587,-5856769,-393390,-700349
-3809867,-5928075,-461596,-949293
-3798815,-6121335,-618032,-854731
-3722563,-6126651,-592092,-756929
-3899175,-6369185,-513100,-797191
-3819301,-6454361,-454750,-972699
-3915261,-6633395,-610526,-777625
-3718817,-6658923,-576558,-729153
-3763515,-6906759,-359204,-511511
-3811239,-6971379,-420170,-474327
-3800581,-7160061,-597156,-428463
-3720303,-7181623,-593532,-218569
-3690217,-7419085,-429170,-329169
-3811219,-7497287,-454634,-438419
-3753625,-7688073,-593658,-342239
-3721645,-7698719,-606160,-283995
-3982035,-7953097,-531590,-284045
-3813089,-8021767,-432258,-468737
-3655201,-8206561,-573282,-272987
-3712553,-8232285,-608026,-231173
-3507383,-8471249,-777376,-113495
-3285293,-8548047,-981510,111597
-3105133,-8759501,-1131890,-125867
-3196433,-8745837,-1104794,-244007
-3430049,-8975841,-1250886,-95551
-3291703,-9079171,-1512620,123195
-3499653,-9253103,-1558120,332847
-3731671,-9274819,-1661292,297879
-3860419,-9022277,-1480168,334483
-3819329,-9075153,-1497630,86507
-4017547,-9223385,-1503580,134761
-4266033,-9282257,-1652890,292071
-4457139,-9516647,-1774372,139523
-4344513,-9610347,-2032810,336509
-4414395,-9756159,-2069782,119867
-4274569,-9807117,-2208892,300929
-4302311,-9545455,-2224698,379531
-4350775,-9598979,-2024178,615341
-4511407,-9739157,-2055258,701753
-4274271,-9796573,-2183904,836595
-4455165,-9535007,-2019448,587885
-4362567,-9605849,-1998876,626327
-4329641,-9758391,-2139092,578525
-4275949,-9805747,-2228774,316997
-4376995,-9561589,-2008350,104943
-4363709,-9601773,-2053844,170451
-4311805,-9789167,-2210588,202703
-4286553,-9813213,-2229256,302505
-4172697,-10067237,-2397494,414269
-4353477,-10130439,-2576966,654509
-4129673,-10291579,-2662036,520035
-4285255,-10335365,-2752482,317355
-4435187,-10575655,-2539816,211013
-4376211,-10658873,-2544370,154111
-4344425,-10812317,-2720852,185613
-4296083,-10873861,-2755722,308633
-4118365,-11112569,-2659598,339691
-4375797,-11185141,-2575778,137465
-4169547,-11302659,-2673590,-14795
-4285853,-11392429,-2705488,-236819
-4344471,-11652243,-2528234,-384987
-4370557,-11718845,-2582858,-361179
-4278395,-11875435,-2733726,-336247
-4287223,-11923063,-2736944,-222699
-4426799,-12163807,-2587670,-228021
-4375171,-12232973,-2572766,-434409
-4232061,-12368125,-2660644,-377997
-4285715,-12439559,-2666920,-245871
-4346455,-12669199,-2467078,-340169
-4370325,-12754009,-2534926,-386253
-4372001,-12879343,-2609102,-295193
-4290637,-12983921,-2709118,-227331
-4504025,-13218773,-2635586,-164863
-4373563,-13288609,-2553188,-385145
-4616893,-13445235,-2602880,-633679
-4811111,-13495611,-2701226,-776623
-4991963,-13745835,-2620118,-867215
-4907749,-13815815,-2587664,-947279
-5159151,-13927263,-2623656,-1101559
-5326389,-14019713,-2697582,-1283565
-5560049,-14267799,-2609694,-1110991
-5431431,-14337883,-2569764,-954951
-5250919,-14450129,-2643036,-1005775
-5336251,-14546867,-2687526,-759107
-5507679,-14773993,-2536122,-656017
-5433609,-14864363,-2588656,-401215
-5197035,-14997679,-2678682,-435987
-5331441,-15067961,-2702574,-223969
-5414323,-15306977,-2468958,-410191
-5434059,-15391215,-2555202,-454457
-5302937,-15501607,-2683722,-582999
-5323987,-15596349,-2705212,-766699
-5095195,-15843427,-2656618,-784687
-4910215,-15910705,-2550190,-990255
-5150863,-16041047,-2625858,-1137443
-5317005,-16116013,-2735018,-1305893
-5461829,-16354441,-2505022,-1461205
-5426793,-16435147,-2559778,-1575459
-5477821,-16531871,-2503662,-1429397
-5328077,-16642737,-2725418,-1311731
-5367707,-16904469,-2569362,-1452707
-5424325,-16952951,-2528278,-1494259
-5661633,-17068249,-2703272,-1279083
-5420638,-4601541,-2723258,-1786538
-5234326,-4855373,-2926694,-1849600
-5493846,-4910279,-3083960,-1977522
-5379764,-4996647,-3177228,-1919694
-5413428,-5125291,-3254090,-1773868
-5523410,-5369249,-3062556,-1758282
-5503482,-5431933,-3061702,-1940496
-5317620,-5535539,-3226148,-2008890
-5414996,-5662211,-3266732,-1783082
-5191640,-5400733,-3162640,-1642232
-4987000,-5434507,-3081102,-1396858
-4791108,-5507271,-3157428,-1508104
-4896084,-5657257,-3258262,-1285280
-4902946,-5404473,-3512048,-1491800
-4980024,-5428569,-3604728,-1413372
-5065010,-5510323,-3660770,-1419740
-4909390,-5666111,-3789550,-1288032
-4778664,-5904587,-3987778,-1232502
-4979132,-5958475,-4134148,-1421650
-5137956,-6023819,-4161178,-1405068
-4908236,-6193735,-4335602,-1276400
-4706400,-6418011,-4432096,-1062422
-4449734,-6481757,-4651796,-881664
-4689110,-6577107,-4688236,-659792
